Player	Active
Vivians, Victoria	YES
Vodichkova, Kamila	NO
Vodopyanova, Natalia	NO
Vukadinovic, Milica	NO
Walker, Ashley	YES
Walker, Ayana	NO
Walker, DeMya	NO
Walker, Marcedes	NO
Walker-Kimbrough, Shatori	YES
Walseth, Maren	NO
Warley-Talbert, Avery	YES
Washington, Coquese	NO
Wauters, Ann	NO
Weatherspoon, Teresa	NO
Webb, Umeki	NO
Weber, Martina	NO
Wecker, Kendra	NO
Weisner, Jamie	NO
Whalen, Lindsay	NO
Wheeler, Erica	YES
Whitcomb, Sami	YES
White, DeTrina	NO
White, Erica	NO
White, Stephanie	NO
White, Tan	NO
Whiting-Raymond, Val	NO
Whitmore, Tamika	NO
Whittington, Khadijah	NO
Whittle, Jennifer	NO
Whyte, Davellyn	NO
Wicks, Sue	NO
Wideman, Jamila	NO
Wiese, Sydney	YES
Wiggins, Candice	NO
Wilkins, Brittany	NO
Williams, Angelina	NO
Williams, Beverly	NO
Williams, Courtney	YES
Williams, Debra	NO
Williams, Elizabeth	YES
Williams, Gabby	YES
Williams, Kamiko	NO
Williams, Kim	NO
Williams, Lenae	NO
Williams, Natalie	NO
Williams, Riquna	YES
Williams, Rita	NO
Williams, Shaquala	NO
Williams, Tara	NO
Williams, Toccara	NO
Williams-Strong, Adrian	NO
Willingham, Le'coe	NO
Willis, Lisa	NO
Willits, Wendi	NO
Wilson, A'ja	YES
Wilson, Amanda	NO
Wirth, Christina	NO
Wisdom-Hylton, Lindsay	NO
Witherspoon, Sophia	NO
Wojta, Julie	NO
Wolters, Kara	NO
Wolvert, Angelina	NO
Woodard, Lynette	NO
Woosley, Tiffany	NO
Wright, Imani	NO
Wright, Monica	NO
Wright, Shereka	NO
Wright, Tanisha	YES
Wyckoff, Brooke	NO
Wynne, Dana	NO
Xargay, Marta	NO
Yamasaki, Lindsey	NO
Yasen, Corissa	NO
Yilmaz, Nevriye	NO
Young, Carolyn	NO
Young, Jackie	YES
Young, Tamera	YES
Young, Toni	NO
Young-Malcolm, Sophia	NO
Zahui B, Amanda	YES
Zakaluzhnaya, Oksana	NO
Zandalasini, Cecilia	YES
Zara, Francesca	NO
Zellous, Shavonte	YES
Zheng, Haixia	NO
Zirkova, Zuzana	NO
Zoll-Norman, Sharnee	NO
Zolman, Shanna	NO
de Souza, Erika	NO
de Souza Sobral, Leila	NO
dos Santos, Cintia	NO
